stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
70,0.5,2.5,63.09523669999908,,63.08150210000167,63.09523669999908,63.59603000000061,63.59603000000061,63.59603000000061,64.01590489999217,left,-2.5,1,1,0.41443090001121163,63.895791699993424,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
71,0.5,2.0,64.02952199999709,,64.01608790000319,64.02952199999709,64.52923549999832,64.52923549999832,64.52923549999832,64.83061249999446,left,-2.0,1,1,0.29831949999788776,64.82824819999223,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
72,0.5,2.0,64.84568669999135,,64.83076209999854,64.84568669999135,65.34555099999125,65.34555099999125,65.34555099999125,65.63222739999765,right,2.0,0,0,0.2830686999950558,65.64573699999892,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
73,0.5,2.5,65.64573699999892,,65.63240859999496,65.64573699999892,66.14557759999298,66.14557759999298,66.14557759999298,66.58106450000196,right,2.5,1,1,0.43061980001220945,66.44603659999848,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
74,0.5,2.5,66.59566449999693,,66.58120299999428,66.59566449999693,67.09563670000352,67.09563670000352,67.09563670000352,67.39730070000223,right,2.5,1,1,0.2940458000084618,67.39532809999946,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
75,0.5,2.5,67.4125808999961,,67.39744309999514,67.4125808999961,67.91190089999873,67.91190089999873,67.91190089999873,68.23107809999783,right,2.5,1,1,0.309509300001082,68.21202389999235,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
76,0.5,2.0,68.24543729999277,,68.231225800002,68.24543729999277,68.74561109999195,68.74561109999195,68.74561109999195,69.19909110000299,left,-2.0,1,1,0.45041109999874607,69.04622839999502,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
77,0.5,2.0,69.21223779999127,,69.19926439999836,69.21223779999127,69.71186039999884,69.71186039999884,69.71186039999884,70.0811326999974,left,-2.0,0,0,0.3580937999940943,70.01223539999046,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
78,0.5,2.5,70.0951430999994,,70.08129859999462,70.0951430999994,70.59570979999262,70.59570979999262,70.59570979999262,70.88046770000074,right,2.5,1,1,0.26955979999911506,70.89556839999568,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
79,0.5,2.5,70.89556839999568,,70.88061079999898,70.89556839999568,71.39570249999815,71.39570249999815,71.39570249999815,71.71408340000198,right,2.5,1,1,0.313435699994443,71.69534869999916,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
80,0.5,2.5,71.7291591999965,,71.71422700000403,71.7291591999965,72.21256430000358,72.21256430000358,72.22939959999349,72.46504229999846,left,-2.5,0,0,0.2452564999985043,,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
81,0.5,3.0,72.47903889999725,,72.46520120000059,72.47903889999725,72.97856979999051,72.97856979999051,72.97856979999051,73.38215320000018,right,3.0,1,1,0.4011342999874614,73.27902190000168,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
82,0.5,3.0,73.39554109999153,,73.38230789999943,73.39554109999153,73.89549049999914,73.89549049999914,73.89549049999914,74.28175919999194,left,-3.0,1,1,0.3808271999878343,74.19593739999982,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
83,0.5,3.0,74.29604129999643,,74.28192280000076,74.29604129999643,74.7967304999911,74.7967304999911,74.7967304999911,75.04835589999857,right,3.0,1,1,0.24102770000172313,,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
84,0.5,2.5,75.06258319999324,,75.0485015000013,75.06258319999324,75.56200140000146,75.56200140000146,75.56200140000146,75.98156780000136,left,-2.5,1,1,0.40280099998926744,75.86225540000305,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
85,0.5,2.5,75.99595379999664,,75.98170760000357,75.99595379999664,76.4956758999906,76.4956758999906,76.4956758999906,76.74744969999301,right,2.5,1,1,0.237893500001519,,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
